location,lat_lon
Bt Timah Rd (between Clementi Rd and Blackmore Dr),"1.3365951459866354, 103.78136112577862"
Coronation Walk,"1.3242244,103.8097309"
Kings Rd (between Prince Rd and Lutheran Rd),"1.3216555655474416, 103.80957792936259"
Junction of Stevens Road and Balmoral Road,"1.31301,103.8299083"
Yishun Avenue 7 (near intersection of Yishun St 22),"1.4394607520380978, 103.83585145678819"
KPE (Slip Rd to Buangkok East Drive),"1.375031,103.909223"
Punggol Way (Slip Rd to TPE),"1.4008747016653462, 103.89641264830509"
Yishun Avenue 7,"1.4384951,103.8332015"
Bukit Timah Rd (near KAP),"1.3373068968527604, 103.77942756156347"
Dunearn Road,"1.325467,103.8090096"
Wan Tho Ave (Pheng Geck Ave),"1.3321392,103.8700728"
Ophir Road,"1.3024489,103.8566459"
Boon Lay Way/Corporation Rd,"1.3428518,103.7160287"
Dunearn Rd (Sime Darby Ctr),"1.3367436,103.7837031"
Enterprise Road,"1.3332885,103.7054867"
Jurong East Street 32,"1.3470214,103.7338564"
KPE towards ECP (after Buangkok Drive Exit),"1.3800864,103.8941323"
PIE / Bedok North Ave 3 slip road,"1.334611431364797, 103.93369655848748"
Junction of Eunos Link / Ubi Ave 3,"1.3347636,103.8994408"
Hougang Avenue 8,"1.3746983,103.8882516"
Tampines Avenue 10 (towards TPE),"1.3748039804814367, 103.93131406099447"
Dunearn Road (Binjai Park),"1.3351504,103.7864808"
KPE slip road to PIE (towards Changi),"1.31981724018845, 103.87575476162365"
Kramat Lane,"1.3010114,103.8422569"
Seletar North Link,"1.4248542,103.8836981"
slip road from Stevens Road to Balmoral Road,"1.3131229076135529, 103.83038429904742"
PIE [towards Tuas] at KJE [BKE] exit,"1.3623507414005873, 103.70468689449974"
slip road of Amber Rd into Mountbatten Rd,"1.30297462147499, 103.9005021022404"
slip road of Haig Rd into Mountbatten Rd,"1.303317786448753, 103.90043205045473"
Craig Road,"1.2778048,103.8423234"
Jln Boon Lay/International Road,"1.3282627,103.7085304"
Ang Mo Kio Ave 10,"1.374214, 103.855"
Bishan Street 12,"1.345419, 103.8507"
Braddell Road,"1.343226, 103.8546"
Buangkok Crescent,"1.384873, 103.8823"
Bukit Batok Central,"1.348442, 103.7464"
Bukit Panjang Ring Road,"1.385983, 103.764"
Chai Chee Avenue,"1.325113, 103.9241"
Changi Business Park Crescent,"1.337153, 103.9691"
Choa Chu Kang Loop,"1.386275, 103.7436"
Choa Chu Kang North 6,"1.396196, 103.7516"
Clementi Avenue 1,"1.308162, 103.7679"
Clementi Avenue 3,"1.312234, 103.7643"
Commonwealth Avenue West,"1.310805, 103.7794"
Geylang East Central,"1.320271, 103.8874"
HarbourFront Avenue,"1.264633, 103.8177"
Hillview Rise,"1.363179, 103.7631"
Hougang Street 11,"1.352458, 103.8782"
Jalan Ahmad Ibrahim,"1.326136, 103.6599"
Jalan Bahar,"1.365635, 103.6933"
Jalan Bukit Merah,"1.279756, 103.8281"
Jalan Kayu,"1.397635, 103.8731"
Jalan Kukoh,"1.288344, 103.8396"
Jalan Teck Whye,"1.380144, 103.7572"
Joo Chiat Place,"1.315154, 103.9107"
Jurong Gateway Road,"1.335245, 103.7452"
Jurong West Central 1,"1.342859, 103.7056"
Kallang Bahru,"1.319341, 103.8687"
Kallang Place,"1.3174, 103.8666"
Keppel Bay Drive,"1.263961, 103.8141"
Kim Tian Road,"1.282779, 103.827"
Lengkok Bahru,"1.286588, 103.812"
Lentor Loop,"1.389765, 103.8386"
Loyang Avenue,"1.383591, 103.9784"
Mandai Lake Road,"1.405502, 103.7858"
Marsiling Lane,"1.446866, 103.7713"
Mount Faber Road,"1.268409, 103.8228"
Nanyang Crescent,"1.35459, 103.6837"
Pasir Ris Drive 6,"1.373327, 103.9562"
Pasir Ris Farmway,"1.391463, 103.9261"
Paya Lebar Crescent,"1.348538, 103.8826"
Paya Lebar Way,"1.323475, 103.8851"
Potong Pasir Avenue 1,"1.335113, 103.8669"
