date,location,time,"Lat, Long",
2024-11-22 07:42:12,Yishun Avenue 7,1530,"1.4384951,103.8332015",
2023-11-28 07:48:07,Boon Lay Way/Corporation Rd,1542,"1.3428518,103.7160287",
2025-04-13 05:57:07,Yishun Avenue 7,1350,"1.4384951,103.8332015",
2024-11-17 06:25:09,Ophir Road,1408,"1.3024489,103.8566459",
2025-04-13 06:04:53,Punggol Way (Slip Rd to TPE),1357,"1.4008747016653462, 103.89641264830509",
2025-04-15 08:38:42,Yishun Avenue 7 (near intersection of Yishun St 22),1635,"1.4394607520380978, 103.83585145678819",
2024-11-22 07:16:06,Wan Tho Ave (Pheng Geck Ave),1510,"1.3321392,103.8700728",
2023-07-20 01:32:06,Dunearn Rd (Sime Darby Ctr),0926,"1.3367436,103.7837031",
2024-12-29 09:09:14,Bukit Timah Rd (near KAP),1705,"1.3373068968527604, 103.77942756156347",
2024-12-29 09:08:28,Dunearn Road,1500,"1.325467,103.8090096",
2024-02-03 10:34:39,Dunearn Road,1827,"1.325467,103.8090096",
2025-04-13 06:15:16,KPE (Slip Rd to Buangkok East Drive),1405,"1.375031,103.909223",
2022-03-07 07:25:56,Jurong East Street 32,1520,"1.3470214,103.7338564",
2022-03-02 09:57:40,KPE towards ECP (after Buangkok Drive Exit),1745,"1.3800864,103.8941323",
2021-08-30 02:33:40,Punggol Way (Slip Rd to TPE),1013,"1.4008747016653462, 103.89641264830509",
2018-02-03 04:43:55,slip road of Amber Rd into Mountbatten Rd,1240,"1.30297462147499, 103.9005021022404",
2018-02-03 04:43:55,slip road of Haig Rd into Mountbatten Rd,1240,"1.303317786448753, 103.90043205045473",
2021-08-20 00:14:39,Tampines Avenue 10 (towards TPE),0758,"1.3748039804814367, 103.93131406099447",
2018-04-23 05:24:09,slip road from Stevens Road to Balmoral Road,1320,"1.3131229076135529, 103.83038429904742",
2018-11-11 08:05:11,KPE slip road to PIE (towards Changi),1525,"1.31981724018845, 103.87575476162365",
2018-05-26 07:49:41,Kramat Lane,1545,"1.3010114,103.8422569",
2018-04-27 08:08:52,Seletar North Link,1605,"1.4248542,103.8836981",
2021-07-12 11:31:40,Dunearn Road (Binjai Park),1900,"1.3351504,103.7864808",
2018-04-20 10:37:55,PIE [towards Tuas] at KJE [BKE] exit,1810,"1.3623507414005873, 103.70468689449974",not sure
2022-02-27 06:27:55,PIE / Bedok North Ave 3 slip road,1415,"1.334611431364797, 103.93369655848748",
2022-02-27 06:21:41,Junction of Eunos Link / Ubi Ave 3,1415,"1.3347636,103.8994408",
