date,location,time,lat_lon,is_floodprone,is_flooded,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance,rainfall_5min_prior,rainfall_10min_prior,rainfall_15min_prior,rainfall_20min_prior,rainfall_25min_prior,rainfall_30min_prior,rainfall_35min_prior,rainfall_40min_prior,rainfall_45min_prior,rainfall_50min_prior,rainfall_55min_prior
2025-04-20,Junction of Stevens Road and Balmoral Road,1720,"1.31301,103.8299083",1,1,0.0,0.0,0.0,0.7821623540122518,6.0,6.4,9.4,10.2,7.6,7.4,3.8,2.0,0.2,0.0,0.0
2024-11-22,Wan Tho Ave (Pheng Geck Ave),1510,"1.3321392,103.8700728",1,1,0.2,0.0,0.0,2.151306608609655,2.4,4.8,7.2,7.6,7.4,5.2,1.2,3.4,3.2,0.2,0.2
2018-04-23,slip road from Stevens Road to Balmoral Road,1320,"1.3131229076135529, 103.83038429904742",1,1,0.0,0.0,0.0,0.7376008688925181,6.4,6.0,7.0,6.8,8.8,1.0,0.0,0.0,0.0,0.0,0.0
2025-04-20,Bt Timah Rd (between Clementi Rd and Blackmore Dr),1705,"1.3365951459866354, 103.78136112577862",0,1,0.0,0.0,0.0,0.600601296763747,10.8,7.8,7.6,6.8,2.6,0.4,0.0,0.0,0.0,0.0,0.0
2025-04-20,Coronation Walk,1735,"1.3242244,103.8097309",0,1,4.0,0.0,0.0,0.006124468827702796,4.4,3.6,5.6,10.2,13.0,8.4,10.4,11.2,8.2,7.4,4.0
2025-04-20,Kings Rd (between Prince Rd and Lutheran Rd),1705,"1.3216555655474416, 103.80957792936259",0,1,0.0,0.0,0.0,0.29102838943137754,10.4,11.2,8.2,7.4,4.0,4.0,2.8,0.4,0.2,0.0,0.0
2025-04-15,Yishun Avenue 7 (near intersection of Yishun St 22),1635,"1.4394607520380978, 103.83585145678819",0,1,0.0,0.0,0.0,2.2661737644522715,0.6,3.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-13,KPE (Slip Rd to Buangkok East Drive),1405,"1.375031,103.909223",0,1,0.0,0.0,0.0,1.7991260579531771,8.12,8.729,9.13499,5.278,4.872,5.075,6.293,0.406,1.015,0.203,0.0
2025-04-13,Punggol Way (Slip Rd to TPE),1357,"1.4008747016653462, 103.89641264830509",0,1,0.0,0.0,0.0,1.4391919679974416,13.4,8.2,5.0,4.0,3.8,3.4,1.8,0.8,0.0,0.0,0.0
2025-04-13,Yishun Avenue 7,1350,"1.4384951,103.8332015",0,1,0.0,0.0,0.0,2.318714021649873,7.474,11.312,12.928,11.11,8.282,2.828,0.606,0.202,0.0,0.202,0.0
2024-12-29,Bukit Timah Rd (near KAP),1705,"1.3373068968527604, 103.77942756156347",0,1,0.2,0.0,0.0,0.496159118183603,5.6,11.0,8.60001,7.4,4.2,2.4,1.8,2.6,4.0,2.6,0.8
2024-12-29,Dunearn Road,1500,"1.325467,103.8090096",0,1,0.0,0.0,0.0,0.15364251486824732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,Yishun Avenue 7,1530,"1.4384951,103.8332015",0,1,4.04,0.0,0.0,2.318714021649873,7.878,4.242,6.868,5.454,2.424,0.404,0.404,0.808,1.414,1.616,4.646
2024-11-17,Ophir Road,1408,"1.3024489,103.8566459",0,1,0.0,0.0,0.0,1.1174392542898108,5.6,7.0,8.39999,7.6,8.2,8.2,6.4,6.4,4.2,1.8,0.0
2024-02-03,Dunearn Road,1827,"1.325467,103.8090096",0,1,0.0,0.0,0.0,0.15364251486824732,3.2,4.2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28,Boon Lay Way/Corporation Rd,1542,"1.3428518,103.7160287",0,1,0.0,0.0,0.0,1.1809878169112735,10.353,11.977,17.255,9.338,8.526,1.015,0.0,0.0,0.0,0.0,0.0
2023-07-20,Dunearn Rd (Sime Darby Ctr),0926,"1.3367436,103.7837031",0,1,0.2,0.0,0.0,0.838695915131025,5.2,8.60001,9.60001,8.8,5.4,6.6,2.8,0.2,0.2,0.0,0.0
2022-03-07,Enterprise Road,1605,"1.3332885,103.7054867",0,1,7.92,0.0,0.0,1.6168929203619031,10.098,8.71201,9.702,8.118,6.336,6.138,4.95,3.366,1.782,0.0,1.188
2022-03-07,Jurong East Street 32,1520,"1.3470214,103.7338564",0,1,0.0,0.0,0.0,1.420918161675627,10.556,5.481,5.887,7.511,9.744,12.992,11.571,0.0,0.0,0.0,0.0
2022-03-02,KPE towards ECP (after Buangkok Drive Exit),1745,"1.3800864,103.8941323",0,1,0.203,0.0,0.0,0.8463356552952952,6.699,10.353,9.94701,8.526,5.887,6.09,6.902,7.308,7.308,2.03,0.203
2022-03-02,Punggol Way (Slip Rd to TPE),1730,"1.4008747016653462, 103.89641264830509",0,1,0.0,0.0,0.0,1.4391919679974416,10.6,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,PIE / Bedok North Ave 3 slip road,1415,"1.334611431364797, 103.93369655848748",0,1,0.0,0.0,0.0,1.5611037754776527,3.8,9.8,10.8,9.8,4.8,4.8,3.6,1.2,2.0,9.2,1.8
2022-02-27,Junction of Eunos Link / Ubi Ave 3,1415,"1.3347636,103.8994408",0,1,0.0,0.0,0.0,1.3930826363742186,0.609,0.203,0.406,0.812,2.03,2.03,0.812,0.609,0.406,0.0,0.0
2021-11-23,Jurong East Street 32,1230,"1.3470214,103.7338564",0,1,0.0,0.0,0.0,1.420918161675627,6.699,7.714,5.481,4.669,6.699,2.842,0.0,0.0,0.0,0.0,0.0
2021-09-01,Punggol Way (Slip Rd to TPE),0400,"1.4008747016653462, 103.89641264830509",0,1,0.0,0.0,0.0,1.4391919679974416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,Punggol Way (Slip Rd to TPE),1013,"1.4008747016653462, 103.89641264830509",0,1,0.2,0.0,0.0,1.4391919679974416,4.8,5.0,4.8,3.8,6.4,2.2,0.2,0.0,0.2,0.0,0.2
2021-08-30,Hougang Avenue 8,1013,"1.3746983,103.8882516",0,1,0.0,0.0,0.0,1.4398415111727059,9.44701,7.437,6.231,4.623,1.407,1.809,1.608,0.603,0.201,0.0,0.201
2021-08-20,Tampines Avenue 10 (towards TPE),0758,"1.3748039804814367, 103.93131406099447",0,1,5.8,4.4,0.0,2.5729313596186976,4.0,5.2,4.0,5.2,4.2,8.60001,6.4,3.0,1.0,0.6,5.6
2021-07-12,Dunearn Road (Binjai Park),1900,"1.3351504,103.7864808",0,1,0.0,0.0,0.0,1.0881815416891398,8.0,9.8,8.8,7.6,3.2,3.0,0.6,0.2,0.0,0.0,0.0
2018-11-11,KPE slip road to PIE (towards Changi),1525,"1.31981724018845, 103.87575476162365",0,1,0.406,0.0,0.0,1.7212000066801731,0.0,1.421,1.421,1.624,1.015,2.436,3.248,6.293,4.669,5.278,3.857
2018-05-26,Kramat Lane,1545,"1.3010114,103.8422569",0,1,8.2,0.0,0.0,0.46327632606405306,0.4,3.2,5.6,8.2,6.0,4.2,4.2,3.6,8.8,8.8,11.6
2018-04-27,Seletar North Link,1605,"1.4248542,103.8836981",0,1,0.0,0.0,0.0,2.0916113399286096,1.4,4.8,4.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-20,PIE [towards Tuas] at KJE [BKE] exit,1810,"1.3623507414005873, 103.70468689449974",0,1,0.8,0.6,0.0,1.6327322952872814,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.4,1.2
2018-02-03,slip road of Amber Rd into Mountbatten Rd,1240,"1.30297462147499, 103.9005021022404",0,1,0.0,0.0,0.0,1.1673098366516363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-03,slip road of Haig Rd into Mountbatten Rd,1240,"1.303317786448753, 103.90043205045473",0,1,0.0,0.0,0.0,1.1610620279926187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,Craig Road,1716,"1.2778048,103.8423234",0,1,0.0,0.0,0.0,2.437701595447744,7.2,8.39999,13.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,Jln Boon Lay/International Road,1715,"1.3282627,103.7085304",0,1,0.0,0.0,0.0,2.247934228390664,7.8,7.2,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-12,345 Tanjong Katong Road,2215,"1.3147337, 103.894207",1,0,0.0,0.0,0.0,0.9425422406316534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
